"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg",-1.9483518799203,55,0,-198502.446374279,3.75916195949746,14.3462425308749
"2","constant_LandOnly",0.0946554050586997,0,0,0,3.59487344570741,13.710184258596
"3","constant_Condo",-0.00424455114690881,0,0,0,3.10249637706763,11.8396292979603
"4","distance.num",-2.10519338975215,0,0,0,-0.0145193102572063,-78.7585851486892
"5","area.m2.num",-0.0362902773352231,0,0,0,0.00248069350962735,401.713375780282
"6","total.floor.area.m2.num",-1.24164850910562,0,0,0,0.000619428323932397,107.920030550856
"7","building.age",-1.03890711865406,0,0,0,-0.0120884770383895,-145.039994046617
"8","LandBldg_RC",0.00870725610276682,0,0,0,0.43480347876618,45.8970575452993
"9","LandBldg_S",0.00248943374447151,0,0,0,0.186676273495744,21.3975055887284
"10","LandBldg_W",-0.997237085120479,0,0,0,-0.126396447236173,-15.9945504961807
"11","built.1981_2000",0.00196472246924758,0,0,0,0.16737979592731,62.1468146505107
"12","built.after2000",-0.961257329278743,0,0,0,0.413592769103331,159.546245421411
"13","Urban_Control",0,0,0,0,-0.897201866990984,-39.821314276346
"14","max.building.coverage.ratio",0,0,0,0,-0.00190798088664732,-24.8178029898698
"15","max.floor.area.ratio",0,0,0,0,0.000431788442851949,36.6011365612289
"16","City_Fukuoka",0,0,0,0,-0.877015994990347,-69.479967016927
"17","City_Nagoya",0,0,0,0,-0.380054348897055,-94.8695917403845
"18","City_Osaka",0,0,0,0,-0.22731843156967,-41.1506892025393
"19","City_Sapporo",0,0,0,0,-1.20502918019352,-87.9340810277743
"20","log.nGDP",0,0,0,0,0.560554668051864,31.3611519611581
"21","log.CPI",0,0,0,0,1.53473399646808,31.0184200818587
"22","PctImmi",0,0,0,0,6.72445611901779,66.2047380665442
"23","Ncrime",0,0,0,0,-0.0436708879514321,-50.1871590797229
"24","PctUnemploy",0,0,0,0,-4.33597472734909,-44.6225344811824
"25","PctExec",0,0,0,0,3.34259613211813,37.6424084945365
"26","JSHIS_I45_55",0,0,0,0,-0.143279793128456,-7.36437533068232
"27","JSHIS_I55",0,0,0,0,-0.503741766911662,-24.3075510901666
